Date,SP500
728672,465.97
728675,469.38
728676,470.05
728677,469.71
728678,466.95
728679,464.78
728682,465.82
728683,465.86
728684,467.44
728685,468.32
728686,470.39
728689,468.51
728690,470.42
728691,470.4
728692,472.79
728693,478.65
728696,481.14
728697,480.81
728698,481.19
728699,480.19
728700,481.46
728703,481.65
728704,482.55
728705,484.54
728706,485.22
728707,481.97
728710,482.345
728711,482.72
728712,485.07
728713,486.91
728714,488.11
728717,483.81
728718,487.39
728719,485.65
728720,485.13
728721,485.42
728724,485.63
728725,482.12
728726,483.14
728727,483.16
728728,489.57
728731,490.05
728732,492.89
728733,491.88
728734,495.41
728735,495.52
728738,496.14
728739,495.07
728740,495.67
728741,495.95
728742,500.97
728745,503.2
728746,503.9
728747,503.12
728748,502.22
728749,500.71
728752,501.85
728753,505.24
728754,505.57
728755,506.08
728756,506.42
728759,507.01
728760,505.53
728761,507.17
728762,509.23
728763,507.68
728766,506.13
728767,505.37
728768,504.92
728769,505.29
728770,508.49
728773,512.89
728774,512.1
728775,512.66
728776,513.55
728777,514.71
728780,514.26
728781,514.86
728782,520.48
728783,520.54
728784,520.12
728787,523.96
728788,523.56
728789,524.36
728790,524.37
728791,525.55
728794,527.74
728795,528.19
728796,527.07
728797,519.58
728798,519.19
728801,523.65
728802,528.59
728803,528.61
728804,528.59
728805,523.65
728808,523.615
728809,523.58
728810,533.4
728811,533.49
728812,532.51
728815,535.6
728816,535.55
728817,533.13
728818,532.35
728819,527.94
728822,530.88
728823,536.05
728824,536.47
728825,537.12
728826,539.83
728829,545.22
728830,544.98
728831,543.98
728832,551.07
728833,549.71
728836,544.13
728837,542.43
728838,544.73
728839,543.87
728840,544.75
728843,547.09
728844,547.175
728845,547.26
728846,553.99
728847,556.37
728850,557.19
728851,554.78
728852,560.89
728853,561
728854,559.89
728857,562.72
728858,558.46
728859,550.98
728860,553.54
728861,553.62
728864,556.63
728865,561.1
728866,561.61
728867,565.22
728868,562.93
728871,562.06
728872,559.64
728873,558.8
728874,558.75
728875,558.94
728878,560.03
728879,560.39
728880,559.71
728881,557.45
728882,555.11
728885,559.74
728886,558.57
728887,559.97
728888,559.04
728889,559.21
728892,558.11
728893,559.52
728894,557.14
728895,557.46
728896,560.1
728899,559.05
728900,560
728901,560.92
728902,561.88
728903,563.84
728906,566.505
728907,569.17
728908,570.17
728909,570.29
728910,572.68
728913,573.91
728914,576.51
728915,578.77
728916,583.61
728917,583.35
728920,582.77
728921,584.2
728922,586.77
728923,583
728924,581.73
728927,581.81
728928,581.41
728929,581.04
728930,585.87
728931,584.41
728934,581.72
728935,582.34
728936,581.47
728937,582.63
728938,582.49
728941,578.37
728942,577.52
728943,579.46
728944,583.1
728945,584.5
728948,583.03
728949,586.78
728950,587.44
728951,590.65
728952,587.46
728955,585.06
728956,586.54
728957,582.47
728958,576.72
728959,579.7
728962,583.25
728963,581.5
728964,584.22
728965,589.72
728966,590.57
728969,588.46
728970,586.32
728971,591.71
728972,593.26
728973,592.72
728976,592.3
728977,589.29
728978,593.96
728979,597.34
728980,600.07
728983,596.85
728984,600.24
728985,598.4
728986,599.185
728987,599.97
728990,601.32
728991,606.45
728992,607.64
728993,605.37
728994,606.98
728997,613.68
728998,617.68
728999,620.18
729000,616.17
729001,617.48
729004,619.52
729005,618.78
729006,621.69
729007,616.92
729008,616.34
729011,606.81
729012,611.93
729013,605.94
729014,610.49
729015,611.95
729018,613.125
729019,614.3
729020,614.53
729021,614.12
